Name,Date,Perennial Inventory,Perennial Seeding,Annuals,Action,Notes,Total,Key terms,Attachments,Attachments (from syncToGarden),syncToGarden
20211107-Wishlist,2021-11-07,,,,Wishlist,"Good pecan score, $50 
Vendor doesn't have best pecans for home. But would be far cheaper. 5gal trees $25 each.

Dear Lakeview Pecans,

 I'm interested in buying a pair of pecans from you. 

 I live in Pittsboro, NC, pretty much an hour's drive west of you. In Pittsboro proper, pecans are shade trees along the streets and there is nutfall. I expect that i could have some success. However, the cleared area on my 4 acre lot is surrounded by 90' loblolly pines. Given various constraints the north east corner of the cleared area is about 40' x 40' and is my best site for a pecan tree -- it's probably the best site for light on the lot altogether. There is room to the west for a tree, but it would have other trees to its east and west - -fine southern exposure. This location is within 100' of the prime location. I assume this site is ok for a pollinator for the tree in the prime location, although not itself a great location for production.

 After hours of consulting the NCSU extension page and the University of Georgia's list of varieties recommended for home or low input growth (https://pecanbreeding.uga.edu/cultivars/recommended-list.html), it seems that i would want significant scab resistance.

 My thought is that i would buy one of your Gloria Grandes for the primary site and the Cape Fear for the less attractive site. Would the Cape Fear bear early crops with Gloria Grande as a pollinator? Would the Gloria Grande pollination be affected by Cape Fear's alternating year pattern?
	
 Thanks for your thoughts,
",,,,,
20211107-Wishlist,2021-11-07,,,,Wishlist,"BEST PECAN SCORE, $130 includes s/h
 https://rockbridgetrees.com/
   
Cart totals
Subtotal$130.00Product Price Quantity Subtotal    ×      Amling Pecan - 2 Gallon   $85.00 $65.00  - Amling Pecan - 2 Gallon quantity +
  $65.00     ×      Kanza Pecan - 2 Gallon   $85.00 $65.00  - Kanza Pecan - 2 Gallon quantity +
  $65.00    ",,,,,
20211107-Wishlist,2021-11-07,,,,Wishlist,"Veronicastrum virginicum, Culvers root -- septic/meadow by fence (where didn't seed)


 Rhus coppalinum, Winged sumac, Deep cell 50                
 Amorpha herbacea, Dwarf indigo bush, Deep cell 50, Origin Code 2                   
 Silene virginica, Fire pink, 4 Inch Pot, Origin Code 2                     
 Thermopsis villosa, Carolina bushpea, Deep cell 50, Origin Code 3                     
 Vernonia noveboracensis, New York ironweed, 4 Inch Pot, Origin Code 1
",,Dutch Buffalo Farm,,,
20211101-Purchase,2021-11-01,"""American hazelnut (Rain, 127)"",""Sweetbay magnolia (DEAD, 128)"",""Sasafrass (DEAD, 129)"",""Southern Crabapple (Island, 130)""",,,Purchase,"Max 10 things, $50 max
[ ] 5*2.50 = 12.5 : hazels $2.5 3-5 ft apart 18 ft -- buy 5 for NE border -- fence area
[ ] 3*3 = 9 magnolias for west of orchard 3 fenced plants
[ ] 1*5.5 = 5.5 sassafrass for S Orchard berm where grape is now (lower on south side.
[ ] 4 southern crab apple - drive island

",,CFH,"2021-22_order_form_web.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/oewLGtj_vKdXDkWozpLS3Q/YwKJvkeRkA9v60cgUhz2LrV1EV9cx5iHTHTnpxuzmmvASDaxGA2o8YpjfJhSUJyqSaXYCLjupeAcrJTXgmq-4cp2T4zbZCxxHEGg0N9XIyC2qyrnyJo9oST7sisoL93CPDDH9qeZtXh2tYJSvmtUNprCAnlfjp9UnuX2LsVCaZQ/cLyRiZ8wKeBWOVa_6NWY1KbredYH6i5WralYuw4B6KM),QBPOS Sales Order 12377-1.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/tmlo6fYf-_Yif_wtpjBVlw/L9uTLoVPS4wD0YNUkGLrgvZnID1M-vmezKvJZ_Mj_fZZo3SThmBNr8G-EP3kUd1XxRgun_v9dphbZK3D9LMsQFrT2Wa7PUw3M5HgDSMIlHl4Y7oerVz-bgKRkTyy9q2aHl9pKg56CIZF3iBJKmnbr0rVd3BZTFZy--fQyKKq8Qo/sk7x3ze9-9KhRbeH5CXtg3Wp93bahuaqcb1UZuBpHcU)",,
20211101-Planted,2021-11-01,"""Ox blood lily (OSB, 42)"",""Red spider lily (OSB, 43)"",""Red spider lily (OSB, 44)"",""Red spider lily (OSB, 45)"",""American turk’s-cap lily (OSB, 13)"",""American turk’s-cap lily (DEAD, 14)"",""Roman Pink Hyacinth (OSB, 12)"",""Gypsy Queen hyacinth    1927 (OSB, 9)"",""Gypsy Queen hyacinth    1927 (OSB, 10)"",""Gypsy Queen hyacinth    1927 (OSB, 11)"",""Rudbeckia laciniata (Cut leaf coneflower) (GNSE, 131)"",""Rudbeckia laciniata (Cut leaf coneflower) (GC-E, 132)""",,,Planted,Sochans have been planted over past week or so. Bulbs planted (mostly) on S berm.,,,,,
20211101-Planted,2021-11-01,,,Sweet Lorane fava bean (SE),Planted,,,,,,
"20211021-Planted, Observe",2021-10-21,"""Zephyranthes atamasca (rain lily) (Rain, 123)"",""Symphyotrichum novi-belgii (New York aster) (Rain, 122)"",""Baptisia australis (Blue false indigo) (GldN, 90)"",""Symphyotrichum novi-belgii (New York aster) (GldN, 121)""",,,"Planted,Observe","Planted New York aster (122)  in rain garden, rain lily colony (123) green. 

Planted New York aster (121) and false indigo (90) in the square patch near the major cherry tree at the SE corner of the back porch.

",,,,,
"20211017-Observe, Planted, Garden plot layout",2021-10-17,"""Christmas fern (FrtE, 110)"",""Christmas fern (FrtE, 111)"",""Bugbane 'Brunette' (FrtE, 109)"",""Southern Lady fern (FrtE, 116)"",""Bugbane 'Pink spike' (FrtE, 112)"",""Heuchera x 'Lemon Love' (FrtE, 117)"",""Heuchera Forever® Purple (FrtE, 114)"",""Helleborus X 'Winter Delights Violet' (FrtE, 120)"",""Helleborus 'Tropical Sunset' HONEYMOON® Series (FrtE, 118)"",""Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection (FrtE, 119)""",,,"Observe,Planted,Garden plot layout","Major maintenance on front porch garden bed. Left annual impatiens and coleus alone. Weeded bases of hellebores, bugbanes, lady fern, and Christmas fern near steps. Moved moss to base of plants. Piled old wet pinestraw around plants and flamed the rest of the weeds. Removed pine straw to back of bed. Planted a Christmas fern (one that was rescued before the porch work and spent the summer in the sunchokes) under the window at the back for winter  focus. Planted the new ""forever purple"" Heuchera and the rehabbed 'lemon love' Heurcha in soil amended from the ""worm"" bin. Assembled low cages for them for herbivory protection for a while. Planted stonecrop ""Boogie woogie"" close to the border. Might not get sun until next spring. Hopefully it will cope.  Mulched with the two bales of pinestraw. ",,,photo_2021-10-18_10-19-06.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/iN4CsgWoKuISNfVP2s098g/SGX1HoaxunY6VNqyl1ndjruq6YzJKkeq96RbFDXQV_fdL7x9xnwQCyB5eaW5tr-exnGaPwzmRaOFOVhK-u-vWOPhoQPVO-tFLt0vZtuk7miznZ5-atKSS6kD7U3lixYXO64780emH4LB-gZ6rhzppDThQ0UPY7-XKmF5CBhhUxY/C1b6m4BaCVn1PRva1NHXqZ3ba6POJVRRu7X-RoyZeaQ),,
20211016-Observe,2021-10-16,"""Hosta 'Francee' (KingW, 88)"",""Hosta 'Frances Williams' (KingE, 87)""",,,Observe,Rapeseed sprouted thickly!,,,"photo_2021-10-18_10-18-01.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/NUWSj9keXXsSupmolRQcRQ/JfjZq6DdHLMucM5-W8ySTaAfhSrM-sSOIWObhDbwy_4jwMerrAGKR1NBPRvt_ZjuhLsefnEtrKE9lA8Oic_OCT1Pt6aOQAfzOmg2Qz9TKtFQo0vFMGnKealE-_yajxFcHKuA-ASkFV4yjCD5cZP1eXGaIPgQ57yRvndXMcpb2Pc/IjFla1eBTyXD2g7vci-ov2oWRE3G26SeCusXmU_aFHA),photo_2021-10-18_10-17-50.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/OPv__YfzqVXfElHWY-linQ/aKzyc_OTS-Oa9rzvHZNj9U4n90Ktr6aF8oA_l5U0TCVr0Ltc6GuFewkBYv4XkO-9L6xC7CFRLcuLVtVdGsxYicMgBaGgrCwUz-EpGAeOq_8IiI5VbodAehtNnJg2oi2e_L7acypIMUY7scgXkDFpOUjAfQ8R5bggKjGL7TGh0Uo/W6ae6oaKIAEW1Lmbb2yt7YMS0F3WUXFmV7ZbdNKtsDM)",,
"20211010-Planted, Observe",2021-10-10,"""Hosta 'Francee' (KingW, 88)"",""Hosta 'Frances Williams' (KingE, 87)"",""Luna Mix Hibiscus, Hibiscus moscheutos (OCFN, OCFNWc, 92)"",""Iris virginica var shrevei (Southern Blue Flag) (Rain, 53)"",""Iris virginica var shrevei (Southern Blue Flag) (Rain, 94)"",""Symphyotrichum novi-belgii (New York aster) (OCFN, OCFNWc, 97)"",""Baptisia australis (Blue false indigo) (OCFN, OCFNWc, 101)"",""Asclepias incarnata (Rose milkweed) (OCoffDeck, 74)"",""Symphyotrichum pilosum var. pilosum (frost aster) (OCFN, OCFNWc, 103)"",""Symphyotrichum pilosum var. pilosum (frost aster) (OCFN, OCFNWc, 104)"",""Symphyotrichum pilosum var. pilosum (frost aster) (ONB, 105)"",""Symphyotrichum pilosum var. pilosum (frost aster) (OSB, 106)""",,,"Planted,Observe","Planted Francee, Frances Williams under trellis, amended with old worm bins. Scattered last year's rape seed around. Planted a sochan at the north east corner.

Moved a large Elephantopus tomentosus from the okra to the rain garden drive border near the large grass fountain. Other was there already. Weeded some around best grass ever.  Baptisia australis (Blue false indigo) (Rain, 99 & 100) made it through the stilt grass and summer and rabbits: noting their success in inventory.

Moved the luna Rose hibiscus to the NW corner of orchard. Weeded the corner a bit. Went and fetched Symphyotrichum novi-belgii (New York aster) (OCFN, 97) and  Baptisia australis (Blue false indigo) (OCFN, 101) and planted along fence.

Not sure i can find the great lobelia plant after mowing. Did find blue-eyed grass and spider wort.

No evidence of Sunkiss coreopsis (OCFN, 6) - marking died
No evidence of White-top Star Grass, Cyperaceae: Rhynchospora latifolia (Whitetop Sedge), from 20200727 Plant Delights order.

Asclepias incarnata (Rose milkweed) (OCoffDeck, 74) died back without blooming again.

Symphyotrichum pilosum var. pilosum (frost aster) at peak bloom

Planted the   Iris virginica var shrevei (Southern Blue Flag) (Rain, 53 & 94) in the rain garden. Noted some purple toned spiderwort seedlings, possibly Commelinaceae: Tradescantia ohiensis ""Mrs Loewer"" (spiderwort)? Somehow survived from the purchase i made at Big bloomers? Not a hot dry spot.",,,,,
20211001-Planted,2021-10-01,"""Gypsy Queen hyacinth    1927 (OSB, 9)"",""Gypsy Queen hyacinth    1927 (OSB, 11)"",""Gypsy Queen hyacinth    1927 (OSB, 10)"",""Roman Pink Hyacinth (OSB, 12)"",""American turk’s-cap lily (OSB, 13)"",""American turk’s-cap lily (DEAD, 14)"",""Red spider lily (OSB, 43)"",""Red spider lily (OSB, 44)"",""Red spider lily (OSB, 45)"",""Ox blood lily (OSB, 42)""",,,Planted,"PLANT BULBS ASAP
However, since small bulbs dry out in storage more easily and their shallow planting depths subject them to earlier freezing, they should be planted in most zones IMMEDIATELY. This is also true of all lilies,Fritillaria, Hyacinthoides,andCamassia.

[ ] Spider lilies (3): In S berm - Spacing should be about 8 to 10 inches apart in a partly sunny area that has well-draining soil. Settle the bases of the bulbs about 4 to 6 inches deep in the ground. - leaves will persist over winter until the following spring. The foliage happens to be about 14 inches long and a quarter-inch in width. It is dark green with a lighter green center similar to liriope or monkey grass.   Height: 2 ft. 0 in. - 3 ft. 2 in. 
[ ] Oxblood lilies (1) Foliage emerges first and then dies back just prior to flowering. 
[ ] Turks cap (2) https://plants.ces.ncsu.edu/plants/lilium-superbum/  Deer eat them https://sunfarm.com/specials/liliumsuperbum.php",,Old House Gardens,,,
20210910-Purchase,2021-09-10,,,Sweet Lorane fava bean (SE),Purchase,"Southern Seed Exchange Order #474725
Bergamot, Lemon, 0.15 g
Item #71203$2.50$2.50
Daikon, Miyashige White Fall Radish, 4 g
Item #28201$2.95$2.95
Sorrel, Garden, 0.4 g
Item #71246$2.75$2.75
Sweet Lorane Fava Bean, 28 g
Item #11203$2.75$2.75
White Egg Turnip, 3 g
Item #29103$2.75$2.75
Wild Garden Lettuce Mix, 0.5 g
Item #62951$2.75$2.75",$22.41,SouthernExchange,,,
20210910-Purchase,2021-09-10,"""Hosta 'Frances Williams' (KingE, 87)"",""Hosta 'Francee' (KingW, 88)"",""Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection (, 89)"",""Heuchera Forever® Purple (FrtE, 114)""",,,Purchase,"
Item  Quantity  Price  Total     
Hosta 'Frances Williams'
      $7.33   $7.33    
 'Forever Purple' Coral Bell
      $12.88   $12.88    
 'Francee'
      $6.88   $6.88    
 Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection
      $9.77   $9.77   
   Shipping     $10.95    Box & Handling (only $0.39 per plant)     $1.56    Sales Tax (Michigan residents are subject to 6% sales tax)     $0.00   Grand Total  $49.37",$49.37,NewGardenPlants,,,
20210901-Harvest,2021-09-01,"""Chicago Hardy (ONB, 56)""",,,Harvest,They've been coming in very steadily,,,20210901_123530.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/gVay_uobyNRE6zwQ-lCUqA/OLk3Ei0Rep57qodHUELQBc9Ip27tyBNGmhWg0f6KqmXG3-AcxUgzf-XKh4dg3kLUJGJl_V1X8G4EMTz8blPvXOriQcUKTfyb898CQO0H9rlQZWc4TQ7VZgQB8J7wB2WvoUBTvWRJ_BQ7WMXBt7M2Fw/dwtjykYLz-l-7zcbWvPy3i_rVcPUyi6_jkWaipKe11Y),,
20210814-Harvest,2021-08-14,"""Malykin Apples (Other, 22)""",,,Harvest,First apple. See photos in Clowderwood public repository.	.,,,20210814_183043.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/JDlMZQuJIwL8diCFmW05AQ/EeTe-hm3ULSkpbn_2uukz3R6N4ZCguGLg3xahJXyYvPUuaAEvQzPjqvGWznc_HDs-lS7Ubc3AWMZ_nbQFZNH6lgoC83q62dV8WqiuzKEIAyJpYzAaW3ZyTa1BIo4cPgUjYMyJmxaJXRSFDM9ampGfg/VKcK8ejbCJxCEmIJ3rIRjZGQAkRk9wDsEISYKIA456w),,
20210731-Observe,2021-07-31,"""""""Phlox X """"""""Fashionably Early Flamingo”"""" (OCoffDeck, 17)"",""Phlox [contested] 'Miss Lingard' (OCoffDeck, 59)"",""Stokesia laevis (Stokes aster) (OCoffDeck, 73)"",""Asclepias incarnata (Rose milkweed) (OCoffDeck, 74)"",""Amsonia x 'Blue Ice' (OCoffDeck, 75)"",""Amsonia x 'Blue Ice' (OCoffDeck, 76)"",""Stokesia laevis (Stokes aster) (OCoffDeck, 96)""",,,Observe,"Phlox blooming post cutback. Plan photo of the garden. Annual floss flowers doing OK (20210515 CF&H Ageratum houstonianum 'Bumble Rose' & 'Bumble Silver' for deck garden, $4 each )",,,"20210731_110230.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/u6SU_GXBkNc4n6tSOYea3Q/uXjK2ycdkMkkgFwI6wRFrz0xV4kYEiwWUghPkocCClhjIQ7GsA7Jl-McEy3k5Hnvn7xQvEu10CN9c88ad10BWCMpmpzTOpL2wNEKBXr34qc_-1WAaAWiefv93gUjpcdSSPCX5l13fhytA5b8aw54WQ/BkvjIxkH79Wymipo6-ELIw2_smvDPI39foV4ZRLWAoc),20210725_094557 (1).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/9rJcFwVUObXb5dNF_HwxMQ/jfrVBUPj8z_IsKmNHcNNPnEMa6jY9gAGs-L_4am32zkwv3sc3HQYZRAnvtjRVLMcEjxCLOEgyQG5ifke13i5nESOF1H1AQlOkhew5KdS9hfzWdNp2JgNJrSzmYVs0ixdyJnaa8aE8AD3oCsCBU1VOw/T4T6DJiUPO3K7y7bZXmHWB38Pd2Yk8cpHuLggH38Zbc)",,
20210730-Observe,2021-07-30,"""Pycnanthemum virginianum (Mountain Mint) (Wal, MANY, eOrch, 70)""",,,Observe,With bumble bee.,,,"20210730_185801.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/5GHDC5wANbpYvDb1vRis9w/qEt6PLdRQ5BmGXJDWSmdMn2QYErNqjIIQIP6F5eJJXNEcNvSYorh69KOOvi78io3cXR4KcqK0hU_b7zhMDsDJ_5YJ9vARjTgZE8Mehu2cqEGiK3kdezu-EHjPD4H1IHYfw-LeiGV-j6ZO5DKUG1Myg/66wf3dC1pExjTmmx18TOl9Ipe6eNujSeK5DLgNV0KcU),20210730_185747.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/dYl2whLd5xkY6_y9CYTd4A/fMcGWKeX2BGkY-zhrFR2TQARNB-LxzRpWhRTuox6FK2vcM8b8cD_1JOTEITl9Dk0VsM2UwXJi8VMj9gq1DbsTfZYDpWi-Vb2AWAgy2mHCp_3z-aB-vClQCuyCh09EeyGId5jFgyMkBhyRRUgt7OVDQ/v7puHST7eyq6q-rCX2H5kjYz-fKpxUf5FAUwpxU6rHQ)",,
20210730-Observe,2021-07-30,"""Pawpaw var Wells (OCpicnic, 77)""",,,Observe,,,,20210730_190617.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/qFBHVWQzYs0vhVb5oVrwWQ/WT7vwzN0BaVZrhF8ZinJAkDstSK7LV30FLNwNy-qJ8VDqzLqPQDVEF4JPa-tzBRkz37-oQiB8LXS0CvYOAiR7v4fRzKZq8e04XcT3Tgn62i4BsI-x3fGsgrte8gu3sUP5rbcOrfU1sGecQhjOpio6w/RxHghjVt4GG42HKlSXTHk2gy1jRxOkOGX-pcg7v-seE),,
20210730-Observe,2021-07-30,"""Lobelia siphilitica (Great blue lobelia) (OCFN, OCFNWc, 78)""",,,Observe,,,,20210730_190350.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/5kZna7MldpIei9ne3KDRoA/yQBNK-nea7n1GrYM9iQnxVIyvjM9P_rnmwDInb45qxVFNw2pfkhDG7h_mepRixmktYXTNCz9Q1m8xJ_TcRRVKOCIIne49TTSetKsGKq5FxWWfYhzEpVwqe2tPVa1SeFovW6K9GVJ7p9P8AbvL383vA/HJIxTLEkUsHOpr_X3AUgVhKvmHHxHQGD8CtmCsb1u6I),,
20210730-Observe,2021-07-30,"""Seedling garden phlox 2021 (OCFN, OCFNWc, 57)"",""Seedling garden phlox 2021 (OCFN, OCFNWc, 58)"",""Arizona sun blanket flower (OCFN, OCFNWc, 3)"",""Gaillardia aristata 'Arizona Red Shades' (OCFN, OCFNWc, 4)"",""Sunkiss coreopsis (DEAD, 6)""",,,Observe,,,,"20210730_190333.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/fNPyAzoP-sDVjx9L2RqEnw/pHj6W2GNfX56vDfBhq1On1eu1DN-QuYpWBbjzzQMRRxh8GO554QulXqpnbf-eKsFWtbyOECu9eQ23ePBwcnsqcAS0x1nRgnjy66NOvhnlfe8_p0zsn1pbFD1cuDKxNKlqovN0fneEJrDPppzaiqwxg/CH9Oxox67p0TtCQZDovaMnXTTcxkKWkzr-KD9f5XJqA),20210730_190328.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/MglA_xnmQO5FGVneg_QRWg/NsuKUCN1no84pXScA5mNxlnk07BV-yrdWbfkpjDnRafBARlIVW6_uyiZXGTmdvXxg6BRoySzpmhqYtUKyj1B7le354KNk1HHQcN9pwVqk_eNagC3LgXkv9VBIBan3DNmTubISaERL7AFht3Ex00fjQ/sPbz3QcKPC9YOpX5Ereocwybyeg1_Osqs5wUjp-sdbE),20210730_190320.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/Jjnn6wMw9c0K0JlX_d1sIQ/DykP0BH0W9XYk0Z7zQMN9yaMWqf1jwinboq8WiGCfPVfqFoEPUUQepInC5X-4DzFK8YFiDrdqO6EJ9XqYAlg3isVzJYhF7oBFACI01Vx1MfsfeLBjuon4eguSBuLc0HM6gZ0Jsfw9EEB5nEVlvlsLA/ebj8CuRwb-Qfo4Wh5dv2bZIGyNVKdvggf5Ctn5I-Ui4)",,
20210730-Observe,2021-07-30,"""Echinacea species (Wal, 79)""",,,Observe,,,,20210730_185713.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/1kl2uH9LMOQ7DCs63JOOSA/r0uSQfov6vyWRaOxREoCxfcIbwwiYIQk4Y9hKBNJNDtF2wng7HvY7vpBe_KWGW8qjE4liGUGGbhtoVpCeZbklgFcjGG35DDxyPevKDm2nKAcyY3gXVqxqgFB2s_PitgEIda_ClhPEcnC7FhXoEGCCg/8jtrBB_JybVjSLv0tfLs6VS-hMS4KHqVVG8TDvZxhcY),,
20210730-Observe,2021-07-30,"""Aesculus flava (yellow buckeye) (Wal, 80)""",,,Observe,,,,20210730_185637.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/OTmtBKFaPfCxTduuMkZAPA/jOXtFMIuIGgVmuYgeherE4Jn21ssgo_YLqbOjM0ooDHZAsd_x71ihOtliTal7jXukbsNJx1SeNd8DPQuC8lrDcroAJq4UBLwOiB8AbOk4Hfxhgs2vhgItQxKUN8TzSr3mGZCz1ASnB3AiQZSS8GGPg/ztfvp-J9r1F5ZwCDrBiK3t-HPHgmOPfn2R0g_U88L7w),,
20210730-Observe,2021-07-30,"""Witchhazel (Other, 81)""",,,Observe,,,,20210730_185627.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/5WYke95YzYKmRTPQppTf6Q/_qORv7ptYJVYE6NUsLLfoL7UMjoHBB2Euw1i1QyuCaE_B-w1U-5qjNTYjyjYfBNgTArTg-BwYq2G2xRM_HSbj0YArtUcSRhZAdWC85b6G4xGiWzrIMI4SIKd8u9_CsOwdchC0kr7I8sqejkPJMrQVg/bAwwwzpV1Qm3osnES8MdkywmTc8pCxKpJq2ThpPRQ0Y),,
20210726-Observe,2021-07-26,"""Echinacea species (Meadow, 82)""",,,Observe,,,,20210726_124107.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/lfaM1ywqFwV7PcmA261HnQ/p5tp5TY7pFlAVq5AL0OM4VVh1NHeUx5X4DTsAOlrPM-lpKKN6S2KyENP8uEI7HdOy3ie0GE5vysc3Hx6K3VNWZF6oenEIvUK5b3m0lyWmylY_WNudkJJOqqh2yK94PlTmRDKwI4FwU2kRywAqmGiTg/qiBdy7utuMLfXrj7HyKrZH34u1JxBl2DqZxlqaSKdNE),,
20210725-Observe,2021-07-25,"""Smallanthus uvedalius (bearsfoot) (Other, 68)"",""Malykin Apples (Other, 22)""",,,Observe,Bearsfoot blooming. Apples still high in Malykin tree.,,,,,
20210713-Observe,2021-07-13,"""Read more at: https://strawberries.ces.ncsu.edu/straberry-breeding-progam/strawberries-plasticulture-considerations-varieties/ (Broad, 65)"",""Liatris spicata (ONB, 66)""",,,Observe,"Autumn olive has ripe berries at NW corner (near first compost pile location).
Liatris has been blooming a while.",,,,,
20210709-Planted,2021-07-09,"""Seedling garden phlox 2021 (OCFN, OCFNWc, 57)"",""Seedling garden phlox 2021 (OCFN, OCFNWc, 58)""",,,Planted,Moved two seedling phlox from near parents  off deck to along the N orchard fence.,,,,,
20210705-Care,2021-07-05,"""Euonymus americanus (hearts-a-bustin) (GHpot, 46)"",""Myrica cerifera (Other, 49)"",""Symphyotrichum novi-belgii (New York aster) (GHpot, 50)"",""Baptisia australis (Blue false indigo) (GHpot, 52)"",""Iris virginica var shrevei (Southern Blue Flag) (Rain, 53)"",""Rhexia virginica (meadowbeauty) (GHpot, 54)"",""Callirhoe involucrata (Purple Poppy Mallow) (GHpot, 55)"",""Sweet Caroline Light Green (GHpot, 61)"",""Iris virginica var shrevei (Southern Blue Flag) (Rain, 94)"",""Symphyotrichum novi-belgii (New York aster) (OCFN, OCFNWc, 97)"",""Baptisia australis (Blue false indigo) (Rain, 99)"",""Baptisia australis (Blue false indigo) (Rain, 100)"",""Baptisia australis (Blue false indigo) (OCFN, OCFNWc, 101)""",,,Care,"Potted up perenials as well as thai basil, sweetie star, tomato cuttings, coleus.	Might have some Agastache foeniculum (anise hyssop). Potted cuttings for overwinter with two coleus and the Sweet Caroline Light Green.",,,,,
20210705-Harvest,2021-07-05,"""Chicago Hardy (ONB, 56)"",""Blackberry fruiting cane type (OCZSun, 23)"",""Blackberry fruiting cane type (OCZSun, 24)"",""Blackberry fruiting cane type (OCZSun, 25)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 26)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 27)""",,,Harvest,One of the figs visible at bud break was ripe (but unappealing); the other is near ripe. Blackberries slowing down to nibble quantities.,,,,,
20210704-Purchase,2021-07-04,"""Ox blood lily (OSB, 42)"",""Red spider lily (OSB, 45)"",""Red spider lily (OSB, 43)"",""Red spider lily (OSB, 44)""",,,Purchase,Added to May 31st order,,,,,
20210703-Observe,2021-07-03,"""""""Phaseolus polystachios (Thicket, wild kidney bean)"""" (GNWb-B, 37)""","""Black Coat Runner Bean  (GSNW, 4)"",""Black Coat Runner Bean  (OCFN, OCFNWc, 3)""",,Observe,"Thicket bean thriving, climbing fence, sunchokes, sochan. Orchard fence runner bean blooming. Garden runner seems to not be climbing.",,,,,
20210702-Observe,2021-07-02,"""Malykin Apples (Other, 22)""",,,Observe,Noticed fruit high up in the tree several weeks ago. Adding photo from end of month.	,,,20210726_123628.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/sLHIJT3LNALxXC5CDqPtTA/DYY6Ki2HuTlg2cxlDkwaS1fCX7TmOvtlS-DwIoXfizFYxAWx-C12JtzeViI4FabqxzfuKo4aoDllmwO6enSU7AvhZuHj1STMXo19wOmvv1L3nN25YdHg6kv83LUyax4HZio2DviGnskd4IDFPNWJSg/Z6LPlghovIipzpmIWa-c14_uDq6vOYXr1HTZWaGkShs),,
20210701-Observe,2021-07-01,"""Malykin Pink Gladiolus (ONB, 29)""",,,Observe,Blooming just after the solstice,,,,,
20210701-Observe,2021-07-01,"""Magnolia × soulangeana (saucer magnolia) (FrtW, 30)""",,,Observe,Began budding in mid June. Also has lush new growth.,,,,,
20210701-Observe,2021-07-01,"""Asclepias tuberosa (Butterfly weed) (Other, 64)""",,,Observe,"Colony by the road just between where DOT maintains and where the power company maintains.	This summer they all bloomed at the same time, well after the berm planting.",,,,,
20210629-Observe,2021-06-29,"""Blackberry fruiting cane type (OCZSun, 23)"",""Blackberry fruiting cane type (OCZSun, 24)"",""Blackberry fruiting cane type (OCZSun, 25)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 26)"",""""""Prime-Ark® Traveler Thornless, Primocane-Fruiting Blackberry"""" (OCZSun, 27)""",,,Observe,"Fruit was coming in before June 12, thick through June 22, tapering (but still) June 29. Clearly didn't have the cropt that could have been had because of the drought: many shrivveled buds on plant.
",,,,,
20210629-Observe,2021-06-29,"""Wild blackberry (Other, 28)""",,,Observe,"Some berries, including those out of reach. Should care for these -- add to pruning?",,,,,
20210626-Observe,2021-06-26,"""Malykin Apples (Other, 22)""",,,Observe,Fruit set high in tree!,,,,,
20210625-Observe,2021-06-25,"""Yarrow in colors (OCZSun, 15)"",""Yarrow in colors (OCZSun, 16)""",,,Observe,Both rosy pink and a more red aging to a parchment-y color growing and blooming by the apple. Apparently i shoudl be cutting them to encourage a rebloom.,,,,,
20210625-Care,2021-06-25,"""""""Phlox X """"""""Fashionably Early Flamingo”"""" (OCoffDeck, 17)"",""Phlox [contested] 'Miss Lingard' (OCoffDeck, 59)""",,,Care,Cut back spent blooms -- see secondary sprouts.,,,,,
