Name,Code,Inventory,Perennial Inventory,Genetics,Scientific name,Header,Terms,height (ft),Δh (ft),width (ft),Δw(ft),Google patent,Origin,Use,W2W?,History,2022 ideas,Notes,Supplier notes,Suppliers,Pollinator,Attachments,Perennial Seeding,Pollen Pairing,pecan matrix,pecan matrix 2,Pollen shed start,Pollen shed stop,Pollen receive start,Polle n receive stop,last update,Field 33,Bloom time,Flower,Foliage
Stokesia laevis (Stokes aster),Have,2,"""Stokesia laevis (Stokes aster) (OCoffDeck, 73)"",""Stokesia laevis (Stokes aster) (OCoffDeck, 96)""",Species,Stokesia laevis,Asteraceae-Cichorioideae-Vernonieae: Stokesia laevis,species,,,,,,NC - Piedmont,naturalizing,,"20201031 moved from Rain garden to blue & pink deck garden

20190512 first blooms noted in Condition Monitoring Report
20190410 the three Asteraceae-Cichorioideae-Vernonieae: Stokesia laevis ordered arrived, planted between drive and rain garden
20190407 Mail Order Natives",,"Swamp blue purple aster for rain garden front border

https://www.wildflower.org/plants/result.php?id_plant=STLA6
http://www.namethatplant.net/plantdetail.shtml?plant=1469

The muted yellow cultivar ‘Mary Gregory’ may be combined with the shorter ‘Purple Parasol’ for compatible, long lasting color and frilly texture in the summer flower bed.— https://www.gardeningknowhow.com/ornamental/flowers/stokes-aster/stokes-aster-care.htm

'Peachie's Pick’ cornflower blue","Dutch Buffalo Farm list 2022, with origin code 2",Stokesia laevis (Stokes aster)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 12:23pm,,,,
Vernonia acaulis (Stemless ironweed),Dutch Buffalo Farm,0,,Species,Vernonia acaulis,Asteraceae-Cichorioideae-Vernonieae: Vernonia spp (ironweeds),species,,,,,,NC - Piedmont,"naturalizing,deer ignore",,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Vernonia acaulis (Stemless ironweed)@Dutch Buffalo Farm,,,,,,,,,,,1/29/2022 1:18pm,,,,
Vernonia lettermanii (Letermans vernonia),Have,3,"""Vernonia lettermanii (Letermans vernonia) (ONB, 156)"",""Vernonia lettermanii (Letermans vernonia) (ONB, 157)"",""Vernonia lettermanii (Letermans vernonia) (OCZSun, 158)""",Species,Vernonia lettermanii,Asteraceae-Cichorioideae-Vernonieae: Vernonia spp (ironweeds),species,2.75,0.75,2.50,0.50,,US - Southeast,"naturalizing,deer ignore,6h sun per day,2-6h sun per day,under walnut",,,,,"Dutch Buffalo Farm list 2022, with origin code 3",Vernonia lettermanii (Letermans vernonia)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 5:29pm,,,,
Vernonia noveboracensis (New York ironweed),Interesting,0,,Species,Vernonia noveboracensis,Asteraceae-Cichorioideae-Vernonieae: Vernonia spp (ironweeds),species,6.50,0.50,3.50,0.50,,NC - Piedmont,"naturalizing,deer ignore",,,"tall, want for east border, meadowr","Perennial Forb/herb, 3-7 ft. high, NCBG germ code: 2 || SOIL MOISTURE: Average, Moist/Wet
LIGHT EXPOSURE: Sun, Part Shade, Shade
MINIMUM HARDINESS ZONE: 3
MAXIMUM HARDINESS ZONE: 9
GERMINATION CODE: 2
WILDLIFE VALUE: Bee Friendly, Butterfly Friendly
DEER RESISTANCE: ","Dutch Buffalo Farm list 2022, with origin code 1",Vernonia noveboracensis (New York ironweed)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 5:31pm,,,,
Basella alba var 'Rubra' (Red malabar spinach),Have,1,"""Basella alba var 'Rubra' (Red malabar spinach) (Other, 145)""",Selection,Basella alba var 'Rubra',Basellaceae: Basella alba var 'Rubra' (Red malabar spinach),species,,,,,,Asia,"edible,reseeding annual",,20200413 Country Farm & Home (CFH),,"https://www.bbg.org/gardening/article/red-stemmed_malabar_spinach
Propagation from seed is a snap, and happily, the red-stemmed cultivar of Malabar spinach comes true from seed. Saving seed is easy too: Simply dry the entire fruit and use it for planting the following year. Stem and tip cuttings may be employed as well.
 Red Malabar Spinach
Heat loving salad and stir-fry green. - Vigorous climbing vines grow through summer into fall. Glossy, thick, savoyed leaves resemble spinach. Dark green leaves and deep red/purple stems. Mild Swiss chard taste. Use leaves and young stems sparingly in salads or stir-fries. Avg. 16,500 seeds/lb. Packet: 100 seeds.

Malabar spinach does best in a slightly acidic, moist, fertile soil, though it can tolerate poor soil conditions. Stem tip cuttings may be rooted, overwintered inside, and transplanted out again the following year or kept as a houseplant. Provide trellis support. Sow indoors in flats 1/4"" deep and 1/4"" apart or into 50-cell or 72-cell flats, 3 seeds per cell, 5-6 weeks before transplanting to the garden. After all danger of frost has passed, transplant out to the garden 6"" apart in rows 36"" apart. After all danger of frost has passed, sow directly into the soil 1-2"" apart, 1/4"" deep, in rows 36"" apart. Thin to 6"" apart.",,,,,,,,,,,,,1/2/2022 5:47pm,,,,
American hazelnut,Have,1,"""American hazelnut (Rain, 127)""",Species,Corylus americana,Betulaceae: Corylus americana,species,10.50,1.50,10.50,2.50,,,"nut,naturalizing,deer browse",,,,"$20 for three & research program - https://www.arborday.org/programs/hazelnuts/
http://www.carolinacountry.com/index.php/carolina-gardens/february/growing-hazelnuts-2
http://www.carolinanature.com/trees/coam3.html
Not improved http://www.usefulplants.org/index.php/nut-trees/hazelnuts/item/american-and-beaked-hazelnuts
http://www.badgersett.com/plants/orderdetails.html minimum order $75 ($60 plants) have select hybrids [can mix with chestnut order]

https://www.extension.umn.edu/environment/agroforestry/components/hybrid-hazelnuts.pdf
http://ouroneacrefarm.com/hazelnuts/
opportunities
https://modernfarmer.com/2014/04/great-american-hazelnut-hunt/
https://www.forevergreen.umn.edu/crops-systems/woody-perennials/hazelnuts",,"American hazelnut@Mellowmarsh,American hazelnut@Prarie Moon,American hazelnut@Willis (GA),American hazelnut@CFH,American hazelnut@Cure Nursery,American hazelnut@CFH2021MM",,,,,,,,,,,5/5/2024 5:00pm,,,,
Select American hazel,Have,1,"""Select American hazel (Rain, 235)""",Selection,Corylus americana,Betulaceae: Corylus americana,,,,,,,,,,,,,,Select American hazel@Feralwood,,,,,,,,,,,5/5/2024 5:00pm,,,,
Armoracia rusticana (horseradish),Interesting,0,,Species,Armoracia rusticana (horseradish),Brassicaceae: Armoracia rusticana (horseradish),species,,,,,,,edible,,"By end of 2019 had lost. Should buy a NC variety to see about hotter summer.	
20190413 Coming back up nicely. Planted a wormwood near by

20171228 Richters
$3.50/plant https://www.richters.com/Web_store/web_store.cgi?product=X3360&show=&prodclass=Potted_Herbs&cart_id=5644734.30177 horseradish (better than Sow True rhizome price) ",,"https://www.healthycanning.com/homemade-horseradish/
Roots can be kept frozen, refrigerated",,Armoracia rusticana (horseradish)@Sow True Seeds,,,,,,,,,,,5/5/2024 5:31pm,,,,
Homesteader's Kaleidoscopic Perennial Kale Grex,Tried,1,"""Homesteader's Kaleidoscopic Perennial Kale Grex (GSeedBank, 189)""",Selection,Brassica oleracea Acephala Group,Brassicaceae: Brassica oleracea Acephala Group,OSSI [Open Source Seed Initiative] license,,,,,,,edible,,,,"plant breeder Chris Homanics
The bedrock of this project was provided by two historic perennial tree kales that seldom flower, ‘Purple Tree Collards’ and ‘Daubenton’. The story is complicated, but these kales were crossed to each other and other Pacific Northwest & West Coast perennial kales as well as a variety of other Brassica oleracea including Baltic Red Kale, Brassica oleracea montana, Brussels sprouts, kohlrabi, Red Cavalier Kale, savoy cabbage, Spis Bladene, Walking Stick Kale, and more. Their progeny have been inter-crossed, reselected, cloned, isolated, reselected, interbred — many times now since 2011. This process forms a grex. What is a ‘grex’ you may ask? Grex in Latin means ‘flock’ and originally comes from the orchid hybridization world. It essentially means a genetically diverse interbreeding mix. An apt moniker for seed stewardship generally, as we are shepherds who herd seeds forward into the world. ",,,,,,,,,,,,,5/5/2024 5:24pm,,,,
Deitrich's Wild Broccoli Raab,Tried,1,"""Deitrich's Wild Broccoli Raab (GSeedBank, 192)""",Selection,Brassica rapa var. Ruvo,"Brassicaceae: Brassica rapa (Turnips, rapeseed, etc)",OSSI [Open Source Seed Initiative] license,,,,,,,edible,,,,"...selected this exciting plant from the feral leaf turnips growing at the Deitrichs' farm in Salem County, NJ. They assume the plants escaped from an Italian farmer generations ago. Similar plants grow across the southern New Jersey region, but the plants at the Deitrichs' farm had already been informally selected by Chris & Sandy for years when EFN founders Nate Kleinman & Dusty Hinz took over selection. It's known locally as ""wild broccoli raab"", and some folks eat it every day it's in season — and the season starts many weeks before anything else, often growing through snow.",,,,,,,,,,,,,5/5/2024 5:24pm,,,,
Crambe maritime (sea kale),Not relevant,0,,Species,Crambe maritime (sea kale),Brassicaceae: Crambe maritime (sea kale),species,,,,,,,edible,,,,Wants loose sandy soil,,,,,,,,,,,,,7/4/2021 9:53am,,,,
Opuntia cacanapa 'Ellisiana',Have,1,"""Opuntia cacanapa 'Ellisiana' (NWWdDrive, 262)""",Selection,Opuntia cacanapa 'Ellisiana',Cactaceae: Opuntia spp and hybrids,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2024 7:02pm,,,,
'Starship Scarlet' Lobelia,Have,1,"""'Starship Scarlet' Lobelia (, 242)""",Hybrid,Lobelia × speciosa 'Starship scarlet',Campanulaceae: Lobelia spp and x,,,,,,,,,,,,,"Lobelia × speciosa is a hybrid designation that covers plants developed from L. fulgens, L. cardinalis and L. siphilitica. These hybrids are noted for having attractive green foliage (often flushed with red, purple or bronze), attractive flowers (shades of lavender, pink or red) and a long summer bloom period (July to September). Plants typically grow to 2 1/2' tall. Narrow-ovate leaves appear in a basal rosette in spring. Flower stems rise from the rosettes in July bearing showy, terminal, bracteate spikes of tubular flowers. Each flower (1-2"" long) has two lips, with the three lobes of the lower lip appearing more prominent than the two lobes of the upper lip. The flowers are highly attractive to butterflies and hummingbirds.

STARSHIP SCARLET was introduced by Kieft Seeds at its 2014 Spring Trials. It has numerous stems of bright scarlet red flowers and bronze green foliage. STARSHIP SCARLET is a sturdy, bushy plant growing 1.5 to 2 ft. tall and 0.5 to 1 ft. wide that will flower in its first year.",,,,,,,,,,,,5/5/2024 1:27pm,,,,
Lobelia cardinalis,Interesting,0,,Species,Lobelia cardinalis,Campanulaceae: Lobelia spp and x,species,,,,,,,red S berm section,,,,"Dormancy: Evergreen
Bloom Time: July to September per MBot
3'x x1/5' w
Culture: Sun to Light Shade

Perennial Forb/herb, 2-4 ft. high, NCBG germ code: 1,4 || SOIL MOISTURE: Average, Moist/Wet
LIGHT EXPOSURE: Sun, Part Shade, Shade
MINIMUM HARDINESS ZONE: 3
MAXIMUM HARDINESS ZONE: 9
GERMINATION CODE: 1, 4
WILDLIFE VALUE: Bee Friendly, Butterfly Friendly, Hummingbird Friendly
DEER RESISTANCE: ",,Lobelia cardinalis@Mail Order Natives,,,,,,,,,,,5/5/2024 1:28pm,,,,
Lobelia siphilitica (Great blue lobelia),Dutch Buffalo Farm,1,"""Lobelia siphilitica (Great blue lobelia) (OCFN, OCFNWc, 78)""",Species,Lobelia siphilitica,Campanulaceae: Lobelia spp and x,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 2",Lobelia siphilitica (Great blue lobelia)@Dutch Buffalo Farm,,,,,,,,,,,5/5/2024 1:28pm,,,,
Bengal Tiger Canna Lily ,Interesting,0,,Clone,Canna americanallis var. variegata,Cannaceae: Canna spp (cultivated),no patent,,,,,,Cultivar,,,Mom has had plant for ages,,"Has many synonyms, aka Pretoria
https://en.wikipedia.org/wiki/Canna_%27Bengal_Tiger%27 
https://plants.ces.ncsu.edu/plants/canna-americanallis-var-variegata/

WATER PLANT ""can be grown in up to 6 inches of water during the summer."" per NCSU",,,,,,,,,,,,,5/5/2024 5:32pm,,,,
Symphoricarpos orbiculatus (coralberry),Have,1,"""Symphoricarpos orbiculatus (coralberry) (Other, 147)""",Species,Symphoricarpos orbiculatus,Caprifoliaceae: Symphoricarpos spp,species,,,,,,Chatham,,,,,https://plants.usda.gov/home/plantProfile?symbol=SYOR,,,,,,,,,,,,,1/3/2022 11:08am,,,,
Viburnum dentatum (arrowwood),Have,1,"""Viburnum dentatum (arrowwood) (GldW, 223)""",Species,Viburnum dentatum ,Caprifoliaceae: Viburnum spp & var,species,7.50,2.50,8.00,2.00,,NC - Piedmont,"naturalizing,landscaping",,,,"The flowers and fruits will attract butterflies, bees and songbirds; moist places - NCSU",,,,,,,,,,,,,5/21/2022 7:22am,,,,
"Viburnum obovatum (Walter's viburnum, Small-leaf Virburnum)",Less interesting,0,,Species,Viburnum obovatum,Caprifoliaceae: Viburnum spp & var,species,16.50,8.50,8.00,2.00,,US - South,evergreen,,,,"Use locally native viburnums before trying regional viburnums
V. obovatum* Native to SC, GA Evergreen variety
See https://www.dirtdoctor.com/garden/Walters-Viburnum_vq12692.htm
The winter or spring flowers occur at the branch tips before new growth emerges
V. obovatum 'Christmas Snow'
Height and width: 6  selected for extremely heavy bloom and compact, full habit. (Zone 6-9). http://www.mailordernatives.com/viburnum-obovatum-christmas-snow/ $10/1gal
V. obovatum 'Compactum'
Height and width: 2-3x2-3 This rounded and mounding evergreen shrub with small leaves and abundant white flowers in spring is one of several increasingly popular dwarf selections of this fine species native to the southern U.S.  This clone grown at the Raulston Arboretum of North Carolina State University is possibly the same as 'Densa'.   It is a good plant for sun or semi-shade in well-drained moist to wet soils. . https://www.woodlanders.net/index.cfm?fuseaction=plants.plantDetail&plant_id=1968 $16/1gal
V. obovatum 'Miss Schiller's Delight'
Height and width: 2-3x2-3 'Miss Schiller's Delight' is an excellent dwarf clone of Viburnum obovatum which is a fine small leaf native evergreen shrub.  ...selected by our friend Steve Riefler in Florida. ... It is an especially floriferous clone. https://www.woodlanders.net/index.cfm?fuseaction=plants.plantDetail&plant_id=1454 $16/1gal

NCSU says: Walter's Viburnum is a SE USA native large shrub or small tree that is densely twiggy and upright ascending. it is not native to NC but could easily grow in southern Piedmont and coastal areas of the state. It is evergreen to semi-evergreen with a dense rounded form. Its native habitat is the coastal plains in hammocks, thickets, and swamp margins. This plant is slightly salt tolerant. Even though its native range is zones 8-9, it will grow in zones 7-10.
The small leaves add varying amounts of purple color in fall and remain semi-evergreen to evergreen in warm winter climates. Tiny, white, 5-petaled flowers in dome-shaped clusters bloom in early spring. Oval blue-black fruits follow and mature in fall. 
Plant in full sun to partial shade in average, moist, well-drained soils, the plant appreciating some afternoon shade. Grow along ponds or bogs in sunny or woodland sites.",Almost Eden has many  selections,,,,,,,,,,,,5/21/2022 7:14am,,,,
Euonymus americanus (hearts-a-bustin),Have,1,"""Euonymus americanus (hearts-a-bustin) (GHpot, 46)""",Species,Euonymus americanus,Celastraceae: Euonymus americanus,species,,,,,,Chatham,,,"20201124 Sheffields Order   

20180121 planted in flat
20180111 began soaking 
2017091x: took seeds from tree opposite L’s drive way
",,"
http://www.namethatplant.net/plantdetail.shtml?plant=539
https://floridata.com/Plants/Celastraceae/Euonymus%20americanus/944

see - About juglone effects
http://hort.ifas.ufl.edu/database/lppi/sp145.shtml
Time of year to collect seed: Autumn
Time of year to sow seed: Autumn
Seed treatment: stratify 40 degrees F in sand 3 months.
Preferred temperature for germination: 70-85 degrees F
Time required for germination: 8 weeks
Comment: Stratified seeds can be sown in Summer. Seed beds should be mulched With pine straw.",,,,,,,,,,,,,7/5/2021 6:47pm,,,,
Chenopodium bonus-henricus (Good King Henry),Interesting,0,,Species,Chenopodium bonus-henricus (Good King Henry),Chenopodioideae: Chenopodium bonus-henricus (Good King Henry),species,,,,,,,edible,,,,"This spinach relative grows in full sun or partial shade and moist, well-drained soil. Harvest the tender shoots in spring. - here",,,,,,,,,,,,,7/4/2021 10:46am,,,,
Tradescantia ohiensis 'Mrs Loewer',Have,2,"""Tradescantia ohiensis 'Mrs Loewer' (OSB, 267)"",""Tradescantia ohiensis 'Mrs Loewer' (, 268)""",Selection,"Tradescantia ohiensis ""Mrs Loewer""",Commelinaceae: Tradescantia spp and hybrids,,,,,,,,,,"“Mrs Loewer” Prefers a hot, bright, dry spot, unlike most cultivated spiderworts. Pale blue flowers hover above thin glossy leaves, deep smoky purple winter color. Delightful!
Height: 24-30 Inches; Spread: 12-18 Inches; Color: Light Blue
Bloom Time: Mar , Apr , May , Jun , Jul , Aug
“quite easy to grow from seed”

See image of plants in pots.

20181024 both have survived!
20171219 planted during a warm day (70°F), right end of Drive island front arc flanking center “fashionably early flamingo” phlox
20171216 Big Bloomers, purchased two for front arc of Drive island ",,,,,,img_20171217_154658.155.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/CTU_X293Tu_2q7Q0-p_FNA/e2_RkIlNhhbBS8bbRWjeen9K1xX0OlVq9opQZwHOsERQYXSbFlJxadPmhCbkzxLXwJmOyPRUF6MT-9CjRissTZuAXanWI1NFA8Is-LpAP4fD4vgGJsBc4BYaR0JVx3va42ddpOEBr4ln4TGxhjKMOGL6II9Si9qkLcxLl8KwNAnnyfrAu1AmNcrrIbfVfEJy/Jd0F0mkBElkbCAeeVNPi69x0V5rZ-ZQiZxm808V4G44),,,,,,,,,5/8/2024 7:43am,,,,
Tradescantia from Laura,Have,1,"""Tradescantia from Laura (GSb-E, 266)""",,Tradescantia tbd,Commelinaceae: Tradescantia spp and hybrids,,,,,,,,,,,,,,,,,,,,,,,,,5/8/2024 7:28am,,,,
Tradescantia virginiana (Virginia spiderwort),Dutch Buffalo Farm,0,,Species,Tradescantia virginiana,Commelinaceae: Tradescantia spp and hybrids,species,,,,,,NC - Piedmont,naturalizing,,,,,"Dutch Buffalo Farm list 2022, with origin code 1",Tradescantia virginiana (Virginia spiderwort)@Dutch Buffalo Farm,,,,,,,,,,,5/8/2024 7:27am,,,,
NC-122 (“improved Carolina Ruby”),"Tried, and no",0,,Clone,,Convolvulaceae-Ipomoeeae: Ipomoea batatas (sweet potato),unknown,,,,,,,,,"2020 from CFH, struggled in clay
2020 sweet potato 1 scarlet, 1 NC-122 assume pick up June 2. Planted in poor-soil filled pots and then in potato bed. Note that vining and rooting went pretty well. 
",,"CFH notes:
- Skin Color: Deep Red
- Flesh Color: Deep Orange
- Flesh Texture: Slightly firm
Varietal Characteristics:   Our grower Ted Burch reports these to be his favorite sweet potatoes. He noted that they have the BEST storability, good shape and high yield.   
Grower Feedback: This is a brand new variety for us to sell this year. We can't wait to hear what you think!
In-House Taste Test:   Excellent, rich, sweet flavor reminiscent of caramel but with a firmer texture than some sweet potatoes making it versatile to either mash or use for fries and other recipes where holding shape is necessary.",,,,,,,,,,,,,7/11/2021 10:13am,,,,
Ornamental sweet potatoes,Interesting,0,,Clone,,Convolvulaceae-Ipomoeeae: Ipomoea batatas (sweet potato),unknown,,,,,,Cultivar,landscaping,,"20181022 moved the 2018 Front baskets with surviving  Convolvulaceae-Ipomoeeae: Ipomoea batatas (sweet potato) Parra de camotes ‘Tricolor” into green house -- they didn't make it.

20180414 2 ornamental “Tricolor” vines from Feed & Seed
Ipomoea batatas ""Tri-color"" is the single multicolored ornamental sweet potato vine. Also known as pink frost, Tri-color is a stunning cultivar with green leaves marked with white streaks and pastel pink, variegated edges. Tricolor is a vigorous plant that trails up to 72 inches.",,,,,,,,,,,,,,,7/11/2021 10:09am,,,,
Scarlet sweet potato,Have,1,"""Scarlet sweet potato (GSb-E, GSb-M, GSSE, GSSM, GSSW, 62)""",Clone,Ipomoea batatas,Convolvulaceae-Ipomoeeae: Ipomoea batatas (sweet potato),unknown,,,,,,,edible,,"Grew in 2020, got slips from saved potato for 2021
2020 sweet potato 1 scarlet, 1 NC-122 assume pick up June 2. Planted in poor-soil filled pots and then in potato bed. Note that vining and rooting went pretty well. ",,"CFH notes:
- Skin Color:  Purple
- Flesh Color: Purple
- Flesh Texture: Firm
Varietal Characteristics: …. We thought it was a Charleston Scarlet, when in fact it was an all purple variety simply called Scarlet. We cannot find published data on this variety, so we are relying on grower feedback from last year and will collect additional feedback this year. 
Grower Feedback: Keep in mind that our grower feedback was somewhat tainted given that growers bought these slips thinking they were going to harvest an orange sweet potato, not a purple one.   Having said that, results in appearance, flavor, and yield were completely across the board with low to high ratings. Overall, from the feedback, you should expect a lower yield from this variety than the production potatoes like Covingtons. One gardener said, ""impressed with the taste and will increase amount of them next year,"" while another said, ""The purple sweets did not produce at all. Won't get them again."" (Hmmm... see why this is so hard for us?)
In-House Taste Test: More savory and earthy flavored that a standard orange sweet potato with undertones of beets. Firm texture that holds together well and could be riced for some recipes (like cheesecakes and pies).",,,,,,,,,,,,,7/11/2021 10:13am,,,,
Sweet Caroline Light Green,Have,2,"""Sweet Caroline Light Green (ONB, 60)"",""Sweet Caroline Light Green (GHpot, 61)""",Clone,Ipomoea batatas,Convolvulaceae-Ipomoeeae: Ipomoea batatas (sweet potato),patent,,,,,https://patents.google.com/patent/USPP15028P3/en,Cultivar,"ground cover,!!tender",,,,,,,,,,,,,,,,,7/11/2021 10:03am,,,,
Firestorm’ Sedum a.,Not relevant,0,,,,Crassulaceae: Sedum spp,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2021 7:21am,,,,
Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection,Have,2,"""Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection (, 89)"",""Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection (FrtE, 119)""",Clone,Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection,Crassulaceae: Sedum spp,PPAF,0.58,0.08,1.42,0.08,,,"yellow&purple,ground cover,rabbit resistant",,,,Full sun,,Sedum 'Boogie Woogie' PPAF CPBRAF ROCK 'N GROW® Collection@New Garden,,,,,,,,,,,10/18/2021 7:20am,,,,
Sedum 'kamtschatium Varigatum',Interesting,0,,,Sedum 'kamtschatium Varigatum',Crassulaceae: Sedum spp,,0.29,0.04,1.75,0.24,,Cultivar,"yellow&purple,ground cover,rabbit resistant",,,,"Excellent groundcover for hot dry areas
striking dark green leaves w/ white variegation & tinge of pink
Rock garden, groundcover, or roof garden selection
Tough-as-nails perennial",,Sedum 'kamtschatium Varigatum'@New Garden,,,,,,,,,,,10/18/2021 7:21am,,,,
Sedum takesimense ATLANTIS™ ('Nonsitnal' PP27454),Interesting,0,,,Sedum takesimense ATLANTIS™ ('Nonsitnal' PP27454),Crassulaceae: Sedum spp,patent,0.42,0.08,0.92,0.08,,Cultivar,"ground cover,yellow&purple,rabbit resistant",,,,,,Sedum takesimense ATLANTIS™ ('Nonsitnal' PP27454)@New Garden,,,,,,,,,,,5/5/2024 5:31pm,,,,
Mountain/Wild/Three-leaf/Woodland Stonecrop,Interesting,0,,Species,Sedum ternatum,Crassulaceae: Sedum spp,species,,,9.00,3.00,,Chatham,ground cover,,,,"NCSU Toolbox has no hight
PFAF says tender edible leaves
http://www.namethatplant.net/plantdetail.shtml?plant=1355 

See selection https://www.northcreeknurseries.com/plantName/Sedum-ternatum-Larinem-Park ",,Mountain/Wild/Three-leaf/Woodland Stonecrop@See notes,,Screen Shot 2021-11-15 at 07.52.35.png (https://v5.airtableusercontent.com/v3/u/28/28/1715176800000/jodemph6lCGhOROy-kOufg/2zQ5GyjgmerxpAsGdqHmgq3lkR28jwSzr1w6nEykPtazaq6vDgq1tpqiKqKAcWeLvzQYw0zHVRTmQwl5dP-E36oZT7QpuRnKu99QwRIGhADxXr9cLGlDYIIeMYWasM3q2ey4k7zhgo8SP3kUnOF-6AA8rfo79COSveGbru6taBY/O8qkOIrD8G5mLTgNBi9VyERliVU_3NJKI5MrQKlRjew),,,,,,,,,5/5/2024 5:31pm,,,,
Melothria pendula,Interesting,0,,Species,Melothria pendula,Cucurbitaceae: Melothria sp.,species,,,,,,NC,"naturalizing,fruit,edible",,,,"Also known as ""Guadeloupe Cucumber"", creeping cucumbers are native to the US southeast and the Caribbean. It is a perennial member of the cucumber/squash/gourd family (Cucurbitaceae). This species is a close cousin to the annual Melothria scabra (commonly known as mouse melon, cucamelon, or Mexican sour gherkin), but the fruit is slightly smaller. The unripe fruit, as shown, look like jelly-bean-sized watermelons. They taste like cucumbers, with a bit more sweetness and sourness. They're edible raw and also good for pickles. When fully ripe, the fruits turn black and look like little black olives. At this point the seeds are viable, but the fruit is no longer edible (said to be a powerful laxative).",,Melothria pendula@See notes,,,"""Melothria pendula (, 8)""",,,,,,,,5/5/2024 5:32pm,,,,
Christmas fern,Have,3,"""Christmas fern (MANY, 108)"",""Christmas fern (FrtE, 110)"",""Christmas fern (FrtE, 111)""",Species,Polystichum acrostichoides,Dryopteridaceae,species,,,,,,Chatham,"landscaping,naturalizing",,"20170401 last summer’s transplant is sending up fiddleheads. Dug up some from eastern border berm at N end of E yard and put in hanging baskets.

20161227 Front berm, west of drive

201606ish transplanted from goat zone to beside steps",,"Polystichum acrostichoides (Michx.) Schott
Christmas Fern

http://plants.usda.gov/core/profile?symbol=poac4
http://www.namethatplant.net/plantdetail.shtml?plant=1133
http://hardyfernlibrary.com/ferns/listSpecies.cfm?Auto=70


Cullina, William. Native Ferns, Moss & Grasses. Houghton Mifflin Harcourt, 2008. [via Google Books]",,,,,,,,,,,,,10/17/2021 8:00pm,,,,
Dryopteris intermedia (Evergreen wood fern),Interesting,0,,Species,Dryopteris intermedia,Dryopteridaceae: Dryopteris spp,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2024 5:31pm,,,,
Diospyros virginiana (persimmon),Have,1,"""Diospyros virginiana (persimmon) (GldE, 173)""",Species,Diospyros virginiana,Ebenaceae: Diospyros spp (persimmons),species,,,,,,,naturalizing,,"20200522 seedlings planted 20200208 have not sprouted leaves. On the other hand, the tallest tree in the mossy glade (copse 2) is a male. Persimmon! It’s dropping flowers in the rain.Ebenaceae: Diospyros virginiana (persimmon)
20200208 Planted Persimmon, Diospyros virginiana - actually two small plants. One in a cage N of the meadow, W of the black walnut, the other W of the meadow near the elderberry
201912 Sales Order 6516 from Country Farm & Home Supply, Inc. two local genetics for pollination
2017 - Died
20170530 looks pretty happy
20170319 has been in green house all winter, leaf bud opene
20161016 Native seed swap as a seedling",,"Persimmon trees are usually dioecious (either male or female), but some have complete flowers that make them self-fruitful. They are somewhat unique in that sexual expression can vary from year to year. — http://uncommonfruit.cias.wisc.edu/american-persimmon/

",,,,,,,,,,,,,2/13/2022 9:47am,,,,
Prok persimmon,Have,1,"""Prok persimmon (OCZSun, 174)""",Selection,Diospyros virginiana,Ebenaceae: Diospyros spp (persimmons),no patent,37.50,12.50,,,,Chatham,"landscaping,naturalizing,fruit",,,,"Larger (fruit) than most American persimmons. This variety bears huge crops of sweet, juicy fruit. Tree reaches 30-50' tall. Ripens in mid September to late fall. Grafted. Self-pollinating.
It is self-fertile and female trees will produce seedless fruit without a male pollinator. 'Prok' is rated as one of the best tasting American persimmons. This variety bears huge crops of sweet, orange, juicy fruit. 'Prok' has a nice form and is suitable for landscape use, has a nice fall color, and is a wildlife attractant.
The Prok persimmon tree is a seedling from the Cornell University breeding program, grown out by John Gordon of Amherst NY. One of the most successful variety in zone 5 and 6 due to its early ripening qualities. Fruit are very large for an American persimmon 2 1/2 to 3 inches and mostly seedless when grown without a pollinator. 
https://plants.ces.ncsu.edu/plants/diospyros-virginiana-prok/
",,,,,,,,,,,,,2/13/2022 9:24am,,,,
Eubotrys racemosa (swamp doghobble),Interesting,0,,Species,Eubotrys racemosa,Ericaceae: Eubotrys racemosa,species,5.00,1.00,5.00,1.00,,Chatham,"landscaping,naturalizing,deer ignore",,,,,,Eubotrys racemosa (swamp doghobble)@CFH2021MM,,,,,,,,,,,9/5/2021 1:49pm,,,,
